Field,Forename,Number of Records
Bride Forename,8Margreat,1
Bride Forename,:Bride:s,1
Bride Forename,:Elizab: Isabel,1
Bride Forename,:bride:s,1
Bride Forename,:lice:,1
Bride Forename,:name,3
Bride Forename,:nameomitted:,1
Bride Forename,;jane,1
Bride Forename,;ouisa,1
Bride Forename,?,2950
Bride Forename,? <Ellen>,1
Bride Forename,? ? ? ?,1
Bride Forename,? Anna,1
Bride Forename,? Beatrice,1
Bride Forename,? Catherine,1
Bride Forename,? Denice,1
Bride Forename,? Elizabeth,1
Bride Forename,? Goone ?,1
Bride Forename,? Hipsy,1
Bride Forename,? Jane,2
Bride Forename,? Margerie,1
Bride Forename,? Margery,1
Bride Forename,? Mary,1
Bride Forename,? Mrs.,2
Bride Forename,?--,2
Bride Forename,?.Mrs.,3
Bride Forename,??,2
Bride Forename,???,16
Bride Forename,????,4
Bride Forename,????? Mary,1
Bride Forename,?????????,1
Bride Forename,??????ce,1
Bride Forename,????nell,1
Bride Forename,???ay,1
Bride Forename,??ia,2
Bride Forename,??line,1
Bride Forename,??mes,1
Bride Forename,??stain,1
Bride Forename,??urid,1
Bride Forename,?Alice,1
Bride Forename,?Amley,1
Bride Forename,?Ann,2
Bride Forename,?Aolti Mira,1
Bride Forename,?Catherin,1
Bride Forename,?Charles?,1
Bride Forename,?El,1
Bride Forename,?Elin,1
Bride Forename,?Elizabeth,1
Bride Forename,?Hannah,2
Bride Forename,?INSON,1
Bride Forename,?Rebekah,1
Bride Forename,?Susannah,1
Bride Forename,?ab,1
Bride Forename,?ances,1
Bride Forename,?arrow,1
Bride Forename,?ary,1
Bride Forename,?athy,1
Bride Forename,?ba,1
Bride Forename,?bell,1
Bride Forename,?beth,1
Bride Forename,?ellery,1
Bride Forename,?geth,1
Bride Forename,?ia,1
Bride Forename,?ice,1
Bride Forename,?idostt,1
Bride Forename,?igh?,1
Bride Forename,?ing,1
Bride Forename,?ith,1
Bride Forename,?maure,1
Bride Forename,?nes,1
Bride Forename,?nstas,1
Bride Forename,?o?gnes,1
Bride Forename,?omising,1
Bride Forename,?onye,1
Bride Forename,?seb,1
Bride Forename,?tler,1
Bride Forename,?vair,1
Bride Forename,?ye,1
Bride Forename,?yse,1
Bride Forename,A,43
Bride Forename,A *,1
Bride Forename,A Bigail,1
Bride Forename,A Elizabeth,1
Bride Forename,A HE,1
Bride Forename,A Ison,1
Bride Forename,A Mary,1
Bride Forename,A W,1
Bride Forename,A ar,1
Bride Forename,A'na,9
Bride Forename,A'ne,1
Bride Forename,A(bv)ater?,1
Bride Forename,A(ne),1
Bride Forename,A(nne),1
Bride Forename,A*,67
Bride Forename,A* Doreen,1
Bride Forename,A**,1
Bride Forename,A***,6
Bride Forename,A****,1
Bride Forename,A*S,1
Bride Forename,A*Y,1
Bride Forename,A*ans,1
Bride Forename,A*bey Florence,1
Bride Forename,A*bia,1
Bride Forename,A*e,4
Bride Forename,A*eis,1
Bride Forename,A*h,1
Bride Forename,A*manell,1
Bride Forename,A*minta Lasmuck,1
Bride Forename,A*n,1
Bride Forename,A*ne,1
Bride Forename,A*oria,1
Bride Forename,A*pey,1
Bride Forename,A*rer*,1
Bride Forename,A*s,1
Bride Forename,A*sele?,1
Bride Forename,A*the,1
Bride Forename,A*y Mary,1
Bride Forename,A*ye,1
Bride Forename,A----,1
Bride Forename,A-?,2
Bride Forename,A-is?,1
Bride Forename,A.,53
Bride Forename,A. H. B.,1
Bride Forename,A. Maria,1
Bride Forename,A..,1
Bride Forename,A...,1
Bride Forename,A..?,1
Bride Forename,A.Vienna,1
Bride Forename,A;ice,3
Bride Forename,A;yce,2
Bride Forename,A?,4
Bride Forename,A????,2
Bride Forename,A?????,1
Bride Forename,ABIGAIL,4
Bride Forename,ABIGAILL,1
Bride Forename,ABIGAL,1
Bride Forename,ABIGALL,2
Bride Forename,ABOLINA,1
Bride Forename,ABSULA,1
Bride Forename,ADRIA,1
Bride Forename,AELIS,1
Bride Forename,AGATHA,1
Bride Forename,AGNES,59
Bride Forename,AGNESS,1
Bride Forename,AGNETA,24
Bride Forename,AGNETE,1
Bride Forename,AGNIS,2
Bride Forename,AGNUS,1
Bride Forename,AGRETA,1
Bride Forename,AHny,1
Bride Forename,ALCE,7
Bride Forename,ALDRIDGE,1
Bride Forename,ALECE,1
Bride Forename,ALES,2
Bride Forename,ALGERINA,1
Bride Forename,ALICE,97
Bride Forename,ALICIA,17
Bride Forename,ALIS,7
Bride Forename,ALISE,1
Bride Forename,ALISON,5
Bride Forename,ALLEN,1
Bride Forename,ALLICE,4
Bride Forename,ALLIS,3
Bride Forename,ALLSE,1
Bride Forename,ALOICA,1
Bride Forename,ALOICIA,15
Bride Forename,ALOISA,2
Bride Forename,ALOISIA,2
Bride Forename,ALSE,6
Bride Forename,ALSYN,1
Bride Forename,ALYCE,2
Bride Forename,ALdery,1
Bride Forename,ALice,17
Bride Forename,ALlice,1
Bride Forename,AMEA,1
Bride Forename,AMELIA,10
Bride Forename,AMELINE,1
Bride Forename,AMEY,1
Bride Forename,AMIE,2
Bride Forename,AMY,18
Bride Forename,AMYE,1
Bride Forename,AMargret,1
Bride Forename,AN,7
Bride Forename,ANDREA JAYNE,1
Bride Forename,ANE,3
Bride Forename,ANGELA JUNE,3
Bride Forename,ANGELA WINIFRED,1
Bride Forename,ANGHARAD,1
Bride Forename,ANIS,2
Bride Forename,ANITA CAROL,1
Bride Forename,ANN,650
Bride Forename,ANN ELIZABETH,2
Bride Forename,ANN MARIA,1
Bride Forename,ANNA,33
Bride Forename,ANNABEL,1
Bride Forename,ANNAH,1
Bride Forename,ANNE,285
Bride Forename,ANNE ISABELLA,1
Bride Forename,ANNE LUCY,1
Bride Forename,ANNES,5
Bride Forename,ANNETTE,1
Bride Forename,ANNETTE ROSE,1
Bride Forename,ANNElunn,1
Bride Forename,ANNIE,3
Bride Forename,ANNIE ELIZABETH,1
Bride Forename,ANNIS,2
Bride Forename,ANSTIS,2
Bride Forename,ANn,1
Bride Forename,ANne,1
Bride Forename,APPERY,2
Bride Forename,ARABELLA,1
Bride Forename,ARTHA,1
Bride Forename,ASKINS,1
Bride Forename,ASnna,1
Bride Forename,AThomasina,1
Bride Forename,AUNSBY,1
Bride Forename,AUeson,1
Bride Forename,AUice,1
Bride Forename,AVEREN?,1
Bride Forename,AVES,1
Bride Forename,AVICE,1
Bride Forename,AVIS,7
Bride Forename,AVISA,1
Bride Forename,AVISIA,3
Bride Forename,AWDRY,1
Bride Forename,AWdre,1
Bride Forename,AYLES,5
Bride Forename,AYLLES,1
Bride Forename,A[-]annis,1
Bride Forename,A[__],1
Bride Forename,A[b][r]a,1
Bride Forename,A[e_][i_]c[e_],1
Bride Forename,A[l_][ic]s,1
Bride Forename,A[ll][eo]is,1
Bride Forename,A[ls]kaliah,1
Bride Forename,A[m_]*,1
Bride Forename,A[m_]_,1
Bride Forename,A[m_]p[h_]yllis,1
Bride Forename,A[n_]*,2
Bride Forename,A[n_][n_][e_],2
Bride Forename,A[n_][n_]s,1
Bride Forename,A[n_]is,1
Bride Forename,A[nm]__,1
Bride Forename,A[nn],1
Bride Forename,A[un]g[h_]er,1
Bride Forename,A[un]sten(?),1
Bride Forename,A[vic][nn]e,1
Bride Forename,A[vn]is,2
Bride Forename,A[w]*[e_],1
Bride Forename,A\nne,1
Bride Forename,A^nes,1
Bride Forename,A_,1
Bride Forename,A___,1
Bride Forename,A____,1
Bride Forename,A___ell,1
Bride Forename,A__elia,1
Bride Forename,A_e,1
Bride Forename,A_ice,2
Bride Forename,A_is,1
Bride Forename,A_ise,1
Bride Forename,A_lee,1
Bride Forename,A_n,1
Bride Forename,A_netem,1
Bride Forename,A_os,1
Bride Forename,A_vera,1
Bride Forename,A_ye,1
Bride Forename,A_{2,3}[c_][h_],1
Bride Forename,Aa,1
Bride Forename,Aaa,1
Bride Forename,Aadry,1
Bride Forename,Aagitha,1
Bride Forename,Aagnes,3
Bride Forename,Aalce,3
Bride Forename,Aales,1
Bride Forename,Aalma Maria,1
Bride Forename,Aam,1
Bride Forename,Aan,1
Bride Forename,Aana,2
Bride Forename,Aane,3
Bride Forename,Aann,10
Bride Forename,Aanna,1
Bride Forename,Aanne,2
Bride Forename,Aarabella,1
Bride Forename,Aarendal,1
Bride Forename,Ab,3
Bride Forename,Ab*all,1
Bride Forename,Ab.,1
Bride Forename,Aba,2
Bride Forename,Ababella,1
Bride Forename,Abadine,1
Bride Forename,Abagail,9
Bride Forename,Abagaill,2
Bride Forename,Abagal,1
Bride Forename,Abagall,1
Bride Forename,Abagaull,1
Bride Forename,Abagel,1
Bride Forename,Abaheba,1
Bride Forename,Abara,1
Bride Forename,Abariah,1
Bride Forename,Abasheba,1
Bride Forename,Abater,1
Bride Forename,Abatha,1
Bride Forename,Abathia,1
Bride Forename,Abavy?,1
Bride Forename,Abb,28
Bride Forename,Abb****,1
Bride Forename,Abba,1
Bride Forename,Abba Rine[rs],1
Bride Forename,Abbagall,1
Bride Forename,Abbay,1
Bride Forename,Abbbigall,1
Bride Forename,Abbe,19
Bride Forename,Abbegale,2
Bride Forename,Abbegall,6
Bride Forename,Abbegell,2
Bride Forename,Abbegil,1
Bride Forename,Abbegill,1
Bride Forename,Abbelina,1
Bride Forename,Abbergle,2
Bride Forename,Abbes,1
Bride Forename,Abbey,4
Bride Forename,Abbey (Abigail),1
Bride Forename,Abbey Ann,1
Bride Forename,Abbie,3
Bride Forename,Abbiecs,1
Bride Forename,Abbigael,1
Bride Forename,Abbigail,6
Bride Forename,Abbigaile,1
Bride Forename,Abbigal,2
Bride Forename,Abbigale,3
Bride Forename,Abbigall,11
Bride Forename,Abbigell,1
Bride Forename,Abbigill,2
Bride Forename,Abbis,2
Bride Forename,Abbonate,1
Bride Forename,Abbot,1
Bride Forename,Abbott,2
Bride Forename,Abby,16
Bride Forename,Abby Keziah,1
Bride Forename,Abbygall,2
Bride Forename,Abdiah,3
Bride Forename,Abdullah,1
Bride Forename,Abe,1
Bride Forename,Abe.,1
Bride Forename,Abecie,1
Bride Forename,Abecie?,1
Bride Forename,Abedding?,1
Bride Forename,Abegael,1
Bride Forename,Abegaell,1
Bride Forename,Abegail,14
Bride Forename,Abegaill,2
Bride Forename,Abegal,3
Bride Forename,Abegale,3
Bride Forename,Abegall,13
Bride Forename,Abegayl,1
Bride Forename,Abegel,1
Bride Forename,Abegell,3
Bride Forename,Abegiall,1
Bride Forename,Abegil,1
Bride Forename,Abegill,1
Bride Forename,Abel,4
Bride Forename,Abelen,1
Bride Forename,Abelene,1
Bride Forename,Abelina,2
Bride Forename,Abeline,1
Bride Forename,Abell,3
Bride Forename,Abell?,1
Bride Forename,Abella,3
Bride Forename,Abelyn,1
Bride Forename,Aberah,2
Bride Forename,Aberiah,1
Bride Forename,Aberie,1
